[2022-02-24 14:54:12,096] MainProcess                       | root    | INFO : starting <session.py>
[2022-02-24 14:54:12,097] MainProcess                       | urllib3.connectionpool | DEBUG: Starting new HTTPS connection (1): api.spark-interfax.ru:443
[2022-02-24 14:54:12,263] MainProcess                       | urllib3.connectionpool | DEBUG: https://api.spark-interfax.ru:443 "POST /ifaxwebservice/ HTTP/1.1" 200 312
[2022-02-24 14:54:12,266] MainProcess                       | session | INFO : authentication successfull; ASP.NET_SessionId <og2zrhplvxrpw44k1jbrksoc>
[2022-02-24 14:54:12,267] MainProcess                       | root    | INFO : starting <provide_args.py>
[2022-02-24 14:54:12,268] MainProcess                       | urllib3.connectionpool | DEBUG: Starting new HTTPS connection (1): api.spark-interfax.ru:443
[2022-02-24 14:54:18,281] MainProcess                       | urllib3.connectionpool | DEBUG: https://api.spark-interfax.ru:443 "POST /ifaxwebservice/ HTTP/1.1" 200 None
[2022-02-24 14:54:28,173] MainProcess                       | urllib3.connectionpool | DEBUG: Starting new HTTPS connection (1): api.spark-interfax.ru:443
[2022-02-24 14:54:53,926] MainProcess                       | urllib3.connectionpool | DEBUG: https://api.spark-interfax.ru:443 "POST /ifaxwebservice/ HTTP/1.1" 200 None
[2022-02-24 14:55:39,699] MainProcess                       | utils   | INFO : saved Spark_GetChangedCompanies_Main_20220131.parquet
[2022-02-24 14:56:02,927] MainProcess                       | utils   | INFO : saved Spark_GetChangedEntrepreneurs_Main_20220131.parquet
[2022-02-24 14:56:03,126] MainProcess                       | root    | INFO : starting <calculation.py>
[2022-02-24 14:56:04,561] GetCompanyLeasings                | root    | INFO : GetCompanyLeasings num arguments: 436904
[2022-02-24 14:56:04,562] GetCompanyLeasings                | asyncio | DEBUG: Using selector: EpollSelector
[2022-02-24 14:56:04,587] GetCompanyLeasings                | root    | INFO : started consumer
[2022-02-24 14:56:04,589] Parser-1:1                        | sparser | INFO : consumer started processing responses
[2022-02-24 14:56:04,659] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
[2022-02-24 14:56:04,659] GetCompanyLeasings                | root    | DEBUG: __company_615_4100000668_1024101024078_ elapsed 0.0604
[2022-02-24 14:56:04,707] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
[2022-02-24 14:56:04,708] GetCompanyLeasings                | root    | DEBUG: __company_1345_7734033757_1027739017646_ elapsed 0.107461
[2022-02-24 14:56:04,755] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
[2022-02-24 14:56:04,755] GetCompanyLeasings                | root    | DEBUG: __company_616_4909047148_1024900954385_ elapsed 0.156124
[2022-02-24 14:56:04,805] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
[2022-02-24 14:56:04,806] GetCompanyLeasings                | root    | DEBUG: __company_1479_1659000692_1021602825860_ elapsed 0.20533
[2022-02-24 14:56:04,809] Parser-1:1                        | sparser | DEBUG: processed item _ 0
[2022-02-24 14:56:04,856] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
[2022-02-24 14:56:04,857] GetCompanyLeasings                | root    | DEBUG: __company_1624_5040009062_1035007900894_ elapsed 0.255847
[2022-02-24 14:56:04,859] Parser-1:1                        | sparser | DEBUG: processed item _ 1
[2022-02-24 14:56:04,913] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
[2022-02-24 14:56:04,914] GetCompanyLeasings                | root    | DEBUG: __company_118_7704080012_1027739715145_ elapsed 0.317303
[2022-02-24 14:56:04,968] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
[2022-02-24 14:56:04,968] GetCompanyLeasings                | root    | DEBUG: __company_1789_4214000693_1024201389530_ elapsed 0.367233
[2022-02-24 14:56:05,016] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
[2022-02-24 14:56:05,017] GetCompanyLeasings                | root    | DEBUG: __company_2058_7450001007_1027402812777_ elapsed 0.415376
[2022-02-24 14:56:05,020] Parser-1:1                        | sparser | DEBUG: processed item _ 2
[2022-02-24 14:56:05,074] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
[2022-02-24 14:56:05,075] GetCompanyLeasings                | root    | DEBUG: __company_1180_0274051582_1020202555240_ elapsed 0.475292
[2022-02-24 14:56:05,081] Parser-1:1                        | sparser | DEBUG: processed item _ 3
[2022-02-24 14:56:05,116] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
[2022-02-24 14:56:05,116] GetCompanyLeasings                | root    | DEBUG: __company_2062_7447010227_1027402319361_ elapsed 0.51434
[2022-02-24 14:56:05,123] Parser-1:1                        | sparser | DEBUG: processed item _ 4
[2022-02-24 14:56:05,177] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
[2022-02-24 14:56:05,178] GetCompanyLeasings                | root    | DEBUG: __company_2100_7417001747_1027401062325_ elapsed 0.517249
[2022-02-24 14:56:05,206] GetCompanyLeasings                | httpx._client | DEBUG: HTTP Request: POST https://api.spark-interfax.ru/ifaxwebservice/ "HTTP/1.1 200 OK"
